accuracy_denominator,circuits,configuration_exact_matches,device_exact_matches,failures,first_attempt_json_valid,first_attempt_schema_valid,first_attempt_valid,group_field,group_value,median_call_seconds,median_regret_absolute,oracle_available,output_tokens_observed_lower_bound,pair_exact_matches,peak_gpu_bytes,peak_ram_bytes,regret_available,repairs,token_complete_circuits,total_call_seconds,total_llm_calls,total_output_tokens,transport_retries,trial_id,valid_and_compilable,valid_decisions
0,4,0,0,{},4,4,4,num_qubits,12,13.975260091499763,,0,313,0,5923196928,4027023360,0,0,4,55.70610114599958,4,313,0,gemma/p0_t07,4,4
0,4,0,0,{},4,4,4,num_qubits,13,3.4168604684999764,,0,353,0,5923196928,4017762304,0,0,4,36.22520234300032,4,353,0,gemma/p0_t07,4,4
0,4,0,0,{},4,4,4,num_qubits,14,3.2385669810000195,,0,337,0,5923196928,4026273792,0,0,4,38.49662001599961,4,337,0,gemma/p0_t07,4,4
0,2,0,0,{},2,2,2,num_qubits,15,14.537506102000009,,0,170,0,5923196928,4007108608,0,0,2,29.075012204000018,2,170,0,gemma/p0_t07,2,2
0,2,0,0,{},2,2,2,num_qubits,16,14.678128788999913,,0,173,0,5923196928,4001370112,0,0,2,29.356257577999827,2,173,0,gemma/p0_t07,2,2
0,1,0,0,{},1,1,1,num_qubits,17,3.0403882329999306,,0,80,0,5922934784,3990261760,0,0,1,3.0403882329999306,1,80,0,gemma/p0_t07,1,1
4,4,2,4,{},4,4,4,num_qubits,2,12.303613317500151,0.000600740550000034,4,304,2,5923196928,4017827840,4,0,4,49.140850641000156,4,304,0,gemma/p0_t07,4,4
4,4,3,4,{},4,4,4,num_qubits,3,3.1061101734999284,0.0,4,317,3,5923196928,4017520640,4,0,4,12.080933721000065,4,317,0,gemma/p0_t07,4,4
0,4,0,0,{},4,4,4,num_qubits,30,13.579366912500063,,0,329,0,5923196928,4006535168,0,0,4,56.10631361200035,4,329,0,gemma/p0_t07,4,4
4,4,1,0,{},4,4,4,num_qubits,4,12.155941383499908,0.0070976043500000086,4,279,0,5923196928,4017819648,4,0,4,48.51717621799958,4,279,0,gemma/p0_t07,4,4
0,4,0,0,{},4,4,4,num_qubits,40,3.391110192000042,,0,342,0,5923196928,4026880000,0,0,4,13.0022138490001,4,342,0,gemma/p0_t07,4,4
4,8,2,0,"{""transport_failure"": 1}",7,7,7,num_qubits,5,3.0989345330000333,0.022774592000000038,4,520,0,5923196928,4006584320,4,0,7,81.43682512699922,8,,0,gemma/p0_t07,7,7
0,4,0,0,{},4,4,4,num_qubits,50,12.931614114000013,,0,310,0,5923196928,4026626048,0,0,4,52.177256124999985,4,310,0,gemma/p0_t07,4,4
2,4,2,2,{},4,4,4,num_qubits,6,3.3622754664999093,0.0,2,356,2,5923196928,4018356224,2,0,4,13.541244387999768,4,356,0,gemma/p0_t07,4,4
0,3,0,0,{},3,3,3,num_qubits,60,3.3610731210001177,,0,239,0,5923196928,4006350848,0,0,3,28.359336961000054,3,239,0,gemma/p0_t07,3,3
0,8,0,0,{},8,8,8,num_qubits,7,3.2557098480000093,,0,681,0,5923196928,4018057216,0,0,8,89.34408276699992,8,681,0,gemma/p0_t07,8,8
0,2,0,0,{},2,2,2,num_qubits,70,2.7141509829999677,,0,143,0,5923196928,4017004544,0,0,2,5.428301965999935,2,143,0,gemma/p0_t07,2,2
0,4,0,0,{},4,4,4,num_qubits,8,2.913426172500067,,0,297,0,5923196928,4017815552,0,0,4,34.01097851600048,4,297,0,gemma/p0_t07,4,4
0,8,0,0,{},8,8,8,num_qubits,9,3.571013074999996,,0,640,0,5923196928,4026474496,0,0,8,84.61504070899991,8,640,0,gemma/p0_t07,8,8
0,14,0,0,{},14,14,14,family,pricing,3.4459010849999174,,0,1134,0,5920829440,4006301696,0,0,14,147.733532247,14,1134,0,gemma/p1_t0,14,14
18,74,5,4,{},74,74,74,family,qft,3.272767295000108,0.006643481750000013,18,5698,0,5923196928,4044234752,18,0,74,754.4569223150013,74,5698,0,gemma/p1_t0,74,74
0,4,0,0,{},4,4,4,num_qubits,10,13.488625529000103,,0,293,0,5923196928,4027109376,0,0,4,54.05773107600032,4,293,0,gemma/p1_t0,4,4
0,6,0,0,{},6,6,6,num_qubits,11,3.0780324300000643,,0,451,0,5923196928,4027416576,0,0,6,41.10004227699994,6,451,0,gemma/p1_t0,6,6
0,4,0,0,{},4,4,4,num_qubits,12,2.949139829999808,,0,286,0,5923196928,4018171904,0,0,4,36.902573709999274,4,286,0,gemma/p1_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,13,14.222517524500006,,0,307,0,5923196928,4044234752,0,0,4,58.60263400400015,4,307,0,gemma/p1_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,14,2.96904645449996,,0,281,0,5923196928,4017688576,0,0,4,35.601848771999926,4,281,0,gemma/p1_t0,4,4
0,2,0,0,{},2,2,2,num_qubits,15,2.9483223529999805,,0,143,0,5923196928,4018225152,0,0,2,5.896644705999961,2,143,0,gemma/p1_t0,2,2
0,2,0,0,{},2,2,2,num_qubits,16,14.129881588000046,,0,138,0,5923196928,4017950720,0,0,2,28.259763176000092,2,138,0,gemma/p1_t0,2,2
0,1,0,0,{},1,1,1,num_qubits,17,2.8554421600000524,,0,69,0,5922934784,4001390592,0,0,1,2.8554421600000524,1,69,0,gemma/p1_t0,1,1
4,4,0,4,{},4,4,4,num_qubits,2,12.628592659000105,0.000600740550000034,4,323,0,5923196928,4017299456,4,0,4,50.59429523999995,4,323,0,gemma/p1_t0,4,4
4,4,0,0,{},4,4,4,num_qubits,3,12.527492615500023,0.003630479150000032,4,323,0,5923196928,4017954816,4,0,4,50.562939921000066,4,323,0,gemma/p1_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,30,3.4102841725001554,,0,328,0,5923196928,4018225152,0,0,4,13.32602511899995,4,328,0,gemma/p1_t0,4,4
4,4,1,0,{},4,4,4,num_qubits,4,12.806187342500152,0.0070976043500000086,4,332,0,5923196928,4017594368,4,0,4,51.32500181400019,4,332,0,gemma/p1_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,40,13.268171256500182,,0,320,0,5923196928,4023836672,0,0,4,54.99090430800038,4,320,0,gemma/p1_t0,4,4
4,8,2,0,{},8,8,8,num_qubits,5,3.8286184344999583,0.022774592000000038,4,672,0,5923196928,4017737728,4,0,8,88.8735780650002,8,672,0,gemma/p1_t0,8,8
0,4,0,0,{},4,4,4,num_qubits,50,13.099639063500035,,0,293,0,5923196928,4017668096,0,0,4,52.32434225499992,4,293,0,gemma/p1_t0,4,4
2,4,2,0,{},4,4,4,num_qubits,6,12.583770148000099,0.05457662539999997,2,300,0,5923196928,4018094080,2,0,4,50.0638458990004,4,300,0,gemma/p1_t0,4,4
0,3,0,0,{},3,3,3,num_qubits,60,3.228068601000132,,0,247,0,5923196928,4026499072,0,0,3,9.938495952000267,3,247,0,gemma/p1_t0,3,3
0,8,0,0,{},8,8,8,num_qubits,7,3.8044241329999977,,0,650,0,5923196928,4020592640,0,0,8,90.47167215400003,8,650,0,gemma/p1_t0,8,8
0,2,0,0,{},2,2,2,num_qubits,70,12.098423112500086,,0,157,0,5923196928,4025765888,0,0,2,24.196846225000172,2,157,0,gemma/p1_t0,2,2
0,4,0,0,{},4,4,4,num_qubits,8,12.869743356999948,,0,325,0,5923196928,4026421248,0,0,4,55.41329649299996,4,325,0,gemma/p1_t0,4,4
0,8,0,0,{},8,8,8,num_qubits,9,3.118244268500007,,0,594,0,5923196928,4017938432,0,0,8,46.83253123600008,8,594,0,gemma/p1_t0,8,8
0,14,0,0,{},14,14,14,family,pricing,3.2076427090000834,,0,1228,0,8500129792,853032960,0,0,14,250.7620388510013,14,1228,0,phi/p0_t0,14,14
18,74,2,3,{},74,74,74,family,qft,3.3655712014997334,0.004030626000000037,18,7239,0,8502251520,870756352,18,0,74,1378.7108566929928,74,7239,0,phi/p0_t0,74,74
0,4,0,0,{},4,4,4,num_qubits,10,3.1010350594997362,,0,386,0,8502251520,870756352,0,0,4,65.29869958599829,4,386,0,phi/p0_t0,4,4
0,6,0,0,{},6,6,6,num_qubits,11,26.22856967449934,,0,616,0,8502251520,854044672,0,0,6,159.3988656229967,6,616,0,phi/p0_t0,6,6
0,4,0,0,{},4,4,4,num_qubits,12,3.319885437499579,,0,418,0,8502251520,853999616,0,0,4,61.54783900799703,4,418,0,phi/p0_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,13,3.5928901605007013,,0,424,0,8502251520,854036480,0,0,4,66.8664015229997,4,424,0,phi/p0_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,14,28.376437070499378,,0,422,0,8502251520,853958656,0,0,4,113.32703243299784,4,422,0,phi/p0_t0,4,4
0,2,0,0,{},2,2,2,num_qubits,15,28.61559227500038,,0,187,0,8501194752,853065728,0,0,2,57.23118455000076,2,187,0,phi/p0_t0,2,2
0,2,0,0,{},2,2,2,num_qubits,16,2.991606941500322,,0,188,0,8501194752,853110784,0,0,2,5.983213883000644,2,188,0,phi/p0_t0,2,2
0,1,0,0,{},1,1,1,num_qubits,17,55.343488456999694,,0,115,0,8501186560,853282816,0,0,1,55.343488456999694,1,115,0,phi/p0_t0,1,1
4,4,0,0,{},4,4,4,num_qubits,2,3.0492390954996154,0.003852149100000035,4,393,0,8502251520,854007808,4,0,4,12.487789217997488,4,393,0,phi/p0_t0,4,4
4,4,0,0,{},4,4,4,num_qubits,3,22.882391028999336,0.0021311678,4,359,0,8502251520,853983232,4,0,4,92.47246833499776,4,359,0,phi/p0_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,30,25.895987366000554,,0,378,0,8502251520,853733376,0,0,4,104.0620265840007,4,378,0,phi/p0_t0,4,4
4,4,0,1,{},4,4,4,num_qubits,4,2.924062991000028,0.012720959450000013,4,360,0,8502251520,853770240,4,0,4,11.451174874000571,4,360,0,phi/p0_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,40,24.541114153000308,,0,349,0,8502251520,855904256,0,0,4,97.95009774100072,4,349,0,phi/p0_t0,4,4
4,8,2,0,{},8,8,8,num_qubits,5,3.0297130650001236,0.02806405480000007,4,699,0,8502251520,853831680,4,0,8,107.70683979400019,8,699,0,phi/p0_t0,8,8
0,4,0,0,{},4,4,4,num_qubits,50,3.002228556499176,,0,377,0,8502251520,852910080,0,0,4,11.956569437998041,4,377,0,phi/p0_t0,4,4
2,4,0,2,{},4,4,4,num_qubits,6,29.010432733500238,0.0,2,363,0,8502251520,853024768,2,0,4,116.19838886800062,4,363,0,phi/p0_t0,4,4
0,3,0,0,{},3,3,3,num_qubits,60,38.909858303000874,,0,301,0,8501194752,852869120,0,0,3,81.37071152300268,3,301,0,phi/p0_t0,3,3
0,8,0,0,{},8,8,8,num_qubits,7,3.348654094000267,,0,766,0,8502251520,853110784,0,0,8,108.86873485800243,8,766,0,phi/p0_t0,8,8
0,2,0,0,{},2,2,2,num_qubits,70,20.966065140500177,,0,190,0,8501194752,852971520,0,0,2,41.932130281000354,2,190,0,phi/p0_t0,2,2
0,4,0,0,{},4,4,4,num_qubits,8,3.3757118160001482,,0,418,0,8502251520,853172224,0,0,4,57.36402800399992,4,418,0,phi/p0_t0,4,4
0,8,0,0,{},8,8,8,num_qubits,9,23.402122327500365,,0,758,0,8502251520,855404544,0,0,8,200.655210963002,8,758,0,phi/p0_t0,8,8
0,14,0,0,{},14,14,14,family,pricing,3.3356625060000624,,0,1309,0,8500129792,855027712,0,0,14,259.19038236899996,14,1309,0,phi/p0_t07,14,14
18,74,8,3,"{""transport_failure"": 1}",73,73,73,family,qft,3.196934650500225,0.0019618712500000246,18,6929,1,8502251520,856043520,18,0,73,1279.0234285129945,74,,0,phi/p0_t07,73,73
0,4,0,0,{},4,4,4,num_qubits,10,3.5214597330004835,,0,400,0,8502251520,855539712,0,0,4,60.78885926200019,4,400,0,phi/p0_t07,4,4
0,6,0,0,{},6,6,6,num_qubits,11,3.165756411499842,,0,565,0,8502251520,856043520,0,0,6,115.15392163599881,6,565,0,phi/p0_t07,6,6
0,4,0,0,{},4,4,4,num_qubits,12,27.575982123998983,,0,366,0,8502251520,855678976,0,0,4,110.2405736519986,4,366,0,phi/p0_t07,4,4
0,4,0,0,{},4,4,4,num_qubits,13,2.9253560704992196,,0,367,0,8502251520,855785472,0,0,4,59.87093557199751,4,367,0,phi/p0_t07,4,4
0,4,0,0,{},4,4,4,num_qubits,14,3.1291426745001445,,0,388,0,8502251520,855818240,0,0,4,63.259169504000965,4,388,0,phi/p0_t07,4,4
0,2,0,0,{},2,2,2,num_qubits,15,28.19636672300021,,0,200,0,8501194752,854683648,0,0,2,56.39273344600042,2,200,0,phi/p0_t07,2,2
0,2,0,0,{},2,2,2,num_qubits,16,26.893487345999347,,0,172,0,8501194752,855678976,0,0,2,53.786974691998694,2,172,0,phi/p0_t07,2,2
0,1,0,0,{},1,1,1,num_qubits,17,3.027409076001277,,0,96,0,8501186560,855461888,0,0,1,3.027409076001277,1,96,0,phi/p0_t07,1,1
4,4,2,0,{},4,4,4,num_qubits,2,23.83259893400009,0.0018361599000000783,4,368,0,8502251520,855760896,4,0,4,96.39253818500038,4,368,0,phi/p0_t07,4,4
4,4,4,0,{},4,4,4,num_qubits,3,2.9172210195001753,0.0018638924500000154,4,374,0,8502251520,855732224,4,0,4,11.79407707000064,4,374,0,phi/p0_t07,4,4
0,4,0,0,{},4,4,4,num_qubits,30,25.074460015000113,,0,370,0,8502251520,855543808,0,0,4,103.17010101499909,4,370,0,phi/p0_t07,4,4
4,4,1,1,{},4,4,4,num_qubits,4,23.951433713999904,0.023067941650000034,4,331,1,8502251520,855793664,4,0,4,95.63020963499912,4,331,0,phi/p0_t07,4,4
0,4,0,0,{},4,4,4,num_qubits,40,3.196934650500225,,0,404,0,8502251520,855654400,0,0,4,12.593613206001464,4,404,0,phi/p0_t07,4,4
4,8,1,0,{},8,8,8,num_qubits,5,23.398526436000793,0.016602399650000044,4,702,0,8502251520,855535616,4,0,8,192.82974173500315,8,702,0,phi/p0_t07,8,8
0,4,0,0,"{""transport_failure"": 1}",3,3,3,num_qubits,50,3.1035861734999344,,0,291,0,8502251520,854978560,0,0,3,55.41898189999847,4,,0,phi/p0_t07,3,3
2,4,0,2,{},4,4,4,num_qubits,6,3.2764633884999057,0.0,2,398,0,8502251520,854953984,2,0,4,12.499556067999947,4,398,0,phi/p0_t07,4,4
0,3,0,0,{},3,3,3,num_qubits,60,2.975472321999405,,0,286,0,8501194752,854499328,0,0,3,45.85923899399859,3,286,0,phi/p0_t07,3,3
0,8,0,0,{},8,8,8,num_qubits,7,4.030033282500426,,0,859,0,8502251520,855027712,0,0,8,163.292700160001,8,859,0,phi/p0_t07,8,8
0,2,0,0,{},2,2,2,num_qubits,70,2.898131499999181,,0,189,0,8501194752,854867968,0,0,2,5.796262999998362,2,189,0,phi/p0_t07,2,2
0,4,0,0,{},4,4,4,num_qubits,8,3.057327431500198,,0,359,0,8502251520,855388160,0,0,4,63.27588444799949,4,359,0,phi/p0_t07,4,4
0,8,0,0,{},8,8,8,num_qubits,9,3.1619572819990935,,0,753,0,8502251520,855080960,0,0,8,157.14032862599834,8,753,0,phi/p0_t07,8,8
0,14,0,0,{},14,14,14,family,pricing,3.294855433000066,,0,1333,0,8500129792,868298752,0,0,14,221.38866827600214,14,1333,0,phi/p1_t0,14,14
18,74,0,3,{},74,74,74,family,qft,3.6293377254996813,0.004030626000000037,18,7082,0,8502251520,865046528,18,0,74,1426.21404892,74,7082,0,phi/p1_t0,74,74
0,4,0,0,{},4,4,4,num_qubits,10,26.623846237499492,,0,406,0,8502251520,853884928,0,0,4,107.59402980899904,4,406,0,phi/p1_t0,4,4
0,6,0,0,{},6,6,6,num_qubits,11,3.628656529499949,,0,611,0,8502251520,854069248,0,0,6,69.69243262300097,6,611,0,phi/p1_t0,6,6
0,4,0,0,{},4,4,4,num_qubits,12,3.7017270749997806,,0,414,0,8502251520,854020096,0,0,4,67.81729847000042,4,414,0,phi/p1_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,13,28.012276334499802,,0,400,0,8502251520,855789568,0,0,4,112.8888120369993,4,400,0,phi/p1_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,14,3.326034091999645,,0,381,0,8502251520,853942272,0,0,4,61.69747591699888,4,381,0,phi/p1_t0,4,4
0,2,0,0,{},2,2,2,num_qubits,15,3.520708906499749,,0,198,0,8501194752,853041152,0,0,2,7.041417812999498,2,198,0,phi/p1_t0,2,2
0,2,0,0,{},2,2,2,num_qubits,16,28.84614616700037,,0,185,0,8501194752,853528576,0,0,2,57.69229233400074,2,185,0,phi/p1_t0,2,2
0,1,0,0,{},1,1,1,num_qubits,17,3.4599677800015343,,0,97,0,8501186560,853073920,0,0,1,3.4599677800015343,1,97,0,phi/p1_t0,1,1
4,4,0,0,{},4,4,4,num_qubits,2,22.86964700449971,0.003852149100000035,4,352,0,8502251520,853962752,4,0,4,96.34235500499926,4,352,0,phi/p1_t0,4,4
4,4,0,0,{},4,4,4,num_qubits,3,23.597302861499884,0.0021311678,4,352,0,8502251520,855891968,4,0,4,96.10506795199763,4,352,0,phi/p1_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,30,3.1287676085003113,,0,347,0,8502251520,853786624,0,0,4,12.41802556300172,4,347,0,phi/p1_t0,4,4
4,4,0,1,{},4,4,4,num_qubits,4,23.352579375999994,0.012720959450000013,4,355,0,8502251520,853856256,4,0,4,93.82317891899947,4,355,0,phi/p1_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,40,25.415832790499735,,0,400,0,8502251520,865046528,0,0,4,105.50585113799934,4,400,0,phi/p1_t0,4,4
4,8,0,0,{},8,8,8,num_qubits,5,3.278566876500008,0.025159552700000032,4,751,0,8502251520,868298752,4,0,8,116.23363456700281,8,751,0,phi/p1_t0,8,8
0,4,0,0,{},4,4,4,num_qubits,50,45.96804992249872,,0,395,0,8502251520,853057536,0,0,4,144.08022276899828,4,395,0,phi/p1_t0,4,4
2,4,0,2,{},4,4,4,num_qubits,6,23.1961339315003,0.0,2,367,0,8502251520,853008384,2,0,4,92.74072474799868,4,367,0,phi/p1_t0,4,4
0,3,0,0,{},3,3,3,num_qubits,60,3.404674735000299,,0,310,0,8501194752,852828160,0,0,3,10.584262153000964,3,310,0,phi/p1_t0,3,3
0,8,0,0,{},8,8,8,num_qubits,7,3.6782272114996886,,0,773,0,8502251520,853123072,0,0,8,162.92834470999878,8,773,0,phi/p1_t0,8,8
0,2,0,0,{},2,2,2,num_qubits,70,22.13230741999996,,0,219,0,8501194752,852971520,0,0,2,44.26461483999992,2,219,0,phi/p1_t0,2,2
0,4,0,0,{},4,4,4,num_qubits,8,23.933612239000468,,0,372,0,8502251520,853217280,0,0,4,106.89161704500111,4,372,0,phi/p1_t0,4,4
0,8,0,0,{},8,8,8,num_qubits,9,3.211132296500182,,0,730,0,8502251520,853123072,0,0,8,77.80109100400387,8,730,0,phi/p1_t0,8,8
0,14,0,0,{},14,14,14,family,pricing,2.4050501774997883,,0,1688,0,5819797504,1071919104,0,0,14,136.362337054999,14,1688,0,qwen/p0_t0,14,14
18,74,9,9,{},74,74,74,family,qft,4.2811668415001805,0.0033784027000000605,18,9281,5,5824278528,1072914432,18,0,74,714.7536084780008,74,9281,0,qwen/p0_t0,74,74
0,4,0,0,{},4,4,4,num_qubits,10,3.225459740000133,,0,465,0,5824016384,1056608256,0,0,4,33.78530566700101,4,465,0,qwen/p0_t0,4,4
0,6,0,0,{},6,6,6,num_qubits,11,11.332224311000118,,0,721,0,5824016384,1072730112,0,0,6,67.59761370699925,6,721,0,qwen/p0_t0,6,6
0,4,0,0,{},4,4,4,num_qubits,12,3.5873733779999384,,0,559,0,5824016384,1070641152,0,0,4,32.957112916999904,4,559,0,qwen/p0_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,13,3.79583308100041,,0,588,0,5824016384,1056382976,0,0,4,34.592721382000036,4,588,0,qwen/p0_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,14,12.473373472000048,,0,539,0,5824016384,1072914432,0,0,4,51.27261344799945,4,539,0,qwen/p0_t0,4,4
0,2,0,0,{},2,2,2,num_qubits,15,13.041633495500037,,0,257,0,5824016384,1070526464,0,0,2,26.083266991000073,2,257,0,qwen/p0_t0,2,2
0,2,0,0,{},2,2,2,num_qubits,16,3.8154654385000413,,0,274,0,5824016384,1056251904,0,0,2,7.6309308770000825,2,274,0,qwen/p0_t0,2,2
0,1,0,0,{},1,1,1,num_qubits,17,20.408014871999967,,0,117,0,5820862464,1017987072,0,0,1,20.408014871999967,1,117,0,qwen/p0_t0,1,1
4,4,0,4,{},4,4,4,num_qubits,2,3.007873637499415,0.000600740550000034,4,472,0,5824016384,1070903296,4,0,4,12.420969262998824,4,472,0,qwen/p0_t0,4,4
4,4,3,3,{},4,4,4,num_qubits,3,11.61201317349969,0.0,4,473,3,5824016384,1018961920,4,0,4,48.08689809600037,4,473,0,qwen/p0_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,30,12.666505236000376,,0,528,0,5824016384,1072533504,0,0,4,52.739537725000446,4,528,0,qwen/p0_t0,4,4
4,4,1,0,{},4,4,4,num_qubits,4,2.975963128500098,0.0070976043500000086,4,442,0,5824278528,1070600192,4,0,4,11.925145930000326,4,442,0,qwen/p0_t0,4,4
0,4,0,0,{},4,4,4,num_qubits,40,12.58527230999971,,0,530,0,5824278528,1019244544,0,0,4,50.85436543100013,4,530,0,qwen/p0_t0,4,4
4,8,3,0,{},8,8,8,num_qubits,5,3.5722501504997126,0.02887577985000006,4,997,0,5824278528,1071656960,4,0,8,60.45459437699947,8,997,0,qwen/p0_t0,8,8
0,4,0,0,{},4,4,4,num_qubits,50,2.973541322499841,,0,478,0,5824278528,1071198208,0,0,4,12.370603090999793,4,478,0,qwen/p0_t0,4,4
2,4,2,2,{},4,4,4,num_qubits,6,20.166995178000434,0.0,2,513,2,5824016384,1019203584,2,0,4,67.6383519810015,4,513,0,qwen/p0_t0,4,4
0,3,0,0,{},3,3,3,num_qubits,60,15.802917547000106,,0,350,0,5824016384,1072005120,0,0,3,38.46619083400128,3,350,0,qwen/p0_t0,3,3
0,8,0,0,{},8,8,8,num_qubits,7,3.2510961969999244,,0,920,0,5824016384,1072427008,0,0,8,78.90840145300035,8,920,0,qwen/p0_t0,8,8
0,2,0,0,{},2,2,2,num_qubits,70,12.422323746999155,,0,364,0,5824016384,1019121664,0,0,2,24.84464749399831,2,364,0,qwen/p0_t0,2,2
0,4,0,0,{},4,4,4,num_qubits,8,4.00178782949979,,0,467,0,5824016384,1072545792,0,0,4,27.461369157000263,4,467,0,qwen/p0_t0,4,4
